symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
JSWSTEEL,JSWSTEELEQN,,936.0,18.65,2.03,917.35,9791,9164376,892102901909.22,1063.0,761.75,936.0,https://nsearchives.nseindia.com/today/preOpen_JSWSTEELEQN.svg
KEI,KEIEQN,,4248.0,81.75,1.96,4166.25,751,3190248,247363370492.54,5039.7,2822.45,4248.0,https://nsearchives.nseindia.com/today/preOpen_KEIEQN.svg
JINDALSTEL,JINDALSTELEQN,,925.0,16.95,1.87,908.05,8902,8234350,343874783571.22,1097.0,685.05,925.0,https://nsearchives.nseindia.com/today/preOpen_JINDALSTELEQN.svg
ANGELONE,ANGELONEEQN,,2934.9,53.2,1.85,2881.7,4948,14521885,166405677376.83,3896.0,2025.0,2934.9,https://nsearchives.nseindia.com/today/preOpen_ANGELONEEQN.svg
ADANIENSOL,ADANIENSOLEQN,,781.35,13.8,1.8,767.55,3566,2786294,281078594605.29,1348.0,588.0,781.35,https://nsearchives.nseindia.com/today/preOpen_ADANIENSOLEQN.svg
AUROPHARMA,AUROPHARMAEQN,,1263.65,21.95,1.77,1241.7,4434,5603024,346347434466.81,1592.0,958.5,1263.65,https://nsearchives.nseindia.com/today/preOpen_AUROPHARMAEQN.svg
TATAELXSI,TATAELXSIEQN,,7037.7,116.1,1.68,6921.6,311,2188724,239415335273.75,9080.0,6286.0,7037.7,https://nsearchives.nseindia.com/today/preOpen_TATAELXSIEQN.svg
INDIGO,INDIGOEQN,,4468.95,73.35,1.67,4395.6,3103,13867151,758336248940.0,5035.0,2819.55,4468.95,https://nsearchives.nseindia.com/today/preOpen_INDIGOEQN.svg
IDFCFIRSTB,IDFCFIRSTBEQN,,62.7,1.02,1.65,61.68,134944,8460988,407486958202.96,91.2,59.3,62.7,https://nsearchives.nseindia.com/today/preOpen_IDFCFIRSTBEQN.svg
IRB,IRBEQN,,56.0,0.91,1.65,55.09,97863,5480328,108637729942.5,78.15,37.4,56.0,https://nsearchives.nseindia.com/today/preOpen_IRBEQN.svg
NHPC,NHPCEQN,,82.75,1.28,1.57,81.47,99120,8202180,255677564692.15,118.4,58.0,82.75,https://nsearchives.nseindia.com/today/preOpen_NHPCEQN.svg
PAYTM,PAYTMEQN,,959.8,14.55,1.54,945.25,23830,22872034,321632674770.86,1062.95,310.0,959.8,https://nsearchives.nseindia.com/today/preOpen_PAYTMEQN.svg
