symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath,preOpenPrice,buyQty,sellQty
GLENMARK,GLENMARKEQN,,2094.4,190.4,10.0,1904.0,59374,124352905,288252897257.52,1920.0,1275.5,2094.4,https://nsearchives.nseindia.com/today/preOpen_GLENMARKEQN.svg,2090.0,950,0
HINDUNILVR,HINDUNILVREQN,,2500.0,91.6,3.8,2408.4,75738,189345000,2130153953904.02,3035.0,2136.0,2500.0,https://nsearchives.nseindia.com/today/preOpen_HINDUNILVREQN.svg,2470.0,50,0
IOC,IOCEQN,,155.0,2.67,1.75,152.33,535684,83031020,566358700308.47,185.97,110.72,155.0,https://nsearchives.nseindia.com/today/preOpen_IOCEQN.svg,153.5,600,0
SHRIRAMFIN,SHRIRAMFINEQN,,676.0,7.25,1.08,671.75,36657,24780132,937718504636.35,730.45,493.35,676.0,https://nsearchives.nseindia.com/today/preOpen_SHRIRAMFINEQN.svg,673.45,1,0
ALKEM,ALKEMEQN,,4779.9,47.1,1.0,4732.8,571,2729322,254023474895.91,6439.9,4491.65,4779.9,https://nsearchives.nseindia.com/today/preOpen_ALKEMEQN.svg,4730.0,40,0
HINDPETRO,HINDPETROEQN,,444.5,3.25,0.74,441.25,36707,16316261,421782553774.61,457.15,287.55,444.5,https://nsearchives.nseindia.com/today/preOpen_HINDPETROEQN.svg,442.05,250,0
PFC,PFCEQN,,431.8,2.35,0.55,429.45,46512,20083881,622918713755.67,580.0,357.25,431.8,https://nsearchives.nseindia.com/today/preOpen_PFCEQN.svg,430.05,12,0
SHREECEM,SHREECEMEQN,,31330.0,155.0,0.5,31175.0,55,1723150,416072621492.99,31920.0,23500.0,31330.0,https://nsearchives.nseindia.com/today/preOpen_SHREECEMEQN.svg,31045.0,1,0
AUROPHARMA,AUROPHARMAEQN,,1135.0,5.1,0.45,1129.9,3028,3436780,315161999317.0,1592.0,1010.0,1135.0,https://nsearchives.nseindia.com/today/preOpen_AUROPHARMAEQN.svg,1130.1,108,0
INDIGO,INDIGOEQN,,5866.0,26.0,0.45,5840.0,6025,35342650,1143257663245.37,6018.0,3780.0,5866.0,https://nsearchives.nseindia.com/today/preOpen_INDIGOEQN.svg,5855.0,104,0
NMDC,NMDCEQN,,69.0,0.31,0.45,68.69,95258,6572802,236718161625.9,84.2,59.53,69.0,https://nsearchives.nseindia.com/today/preOpen_NMDCEQN.svg,68.68,3905,0
ADANIGREEN,ADANIGREENEQN,,999.8,4.0,0.4,995.8,8700,8698260,304949779332.59,2091.0,758.0,999.8,https://nsearchives.nseindia.com/today/preOpen_ADANIGREENEQN.svg,997.3,419,0
SJVN,SJVNEQN,,98.0,0.39,0.4,97.61,22117,2167466,69603916655.08,159.65,80.54,98.0,https://nsearchives.nseindia.com/today/preOpen_SJVNEQN.svg,97.58,121,0
HAVELLS,HAVELLSEQN,,1535.0,5.3,0.35,1529.7,1368,2099880,385369706473.76,2106.0,1381.3,1535.0,https://nsearchives.nseindia.com/today/preOpen_HAVELLSEQN.svg,1525.0,1,0
ADANIENSOL,ADANIENSOLEQN,,894.0,2.95,0.33,891.05,4003,3578682,321263137349.52,1348.0,588.0,894.0,https://nsearchives.nseindia.com/today/preOpen_ADANIENSOLEQN.svg,891.0,161,0
UPL,UPLEQN,,657.7,2.05,0.31,661.65,1294,851063,333308454902.37,699.45,484.9,657.7,https://nsearchives.nseindia.com/today/preOpen_UPLEQN.svg,655.55,2,0
ICICIPRULI,ICICIPRULIEQN,,675.0,1.95,0.29,673.05,2138,1443150,263085261240.88,796.8,525.8,675.0,https://nsearchives.nseindia.com/today/preOpen_ICICIPRULIEQN.svg,673.0,30,0
TIINDIA,TIINDIAEQN,,2908.0,8.5,0.29,2899.5,182,529256,309026353905.47,4810.8,2407.1,2908.0,https://nsearchives.nseindia.com/today/preOpen_TIINDIAEQN.svg,2895.0,20,0
ASHOKLEY,ASHOKLEYEQN,,250.5,0.7,0.28,249.8,27814,6967407,356268461683.41,264.65,191.86,250.5,https://nsearchives.nseindia.com/today/preOpen_ASHOKLEYEQN.svg,250.0,3767,0
IDFCFIRSTB,IDFCFIRSTBEQN,,76.59,0.21,0.27,76.63,31722,2429587,504823170981.15,79.35,52.46,76.59,https://nsearchives.nseindia.com/today/preOpen_IDFCFIRSTBEQN.svg,76.46,250,0
PAGEIND,PAGEINDEQN,,48365.0,120.0,0.25,48245.0,27,1305855,302504016541.96,50590.0,38850.0,48365.0,https://nsearchives.nseindia.com/today/preOpen_PAGEINDEQN.svg,48170.0,1,0
BPCL,BPCLEQN,,351.8,0.85,0.24,350.95,51617,18158860,676823039187.32,376.0,234.01,351.8,https://nsearchives.nseindia.com/today/preOpen_BPCLEQN.svg,350.7,1100,0
PHOENIXLTD,PHOENIXLTDEQN,,1513.0,3.4,0.23,1509.6,268,405484,280653350964.51,2068.5,1338.05,1513.0,https://nsearchives.nseindia.com/today/preOpen_PHOENIXLTDEQN.svg,1504.1,100,0
PGEL,PGELEQN,,775.0,1.65,0.21,773.35,4042,3132550,110756263856.9,1054.2,337.0,775.0,https://nsearchives.nseindia.com/today/preOpen_PGELEQN.svg,773.35,300,0
SBILIFE,SBILIFEEQN,,1814.0,3.8,0.21,1810.2,844,1531016,809266981936.55,1936.0,1372.55,1814.0,https://nsearchives.nseindia.com/today/preOpen_SBILIFEEQN.svg,1805.0,6,0
KEI,KEIEQN,,3704.0,7.4,0.2,3696.6,141,522264,227463879257.67,4779.9,2424.0,3704.0,https://nsearchives.nseindia.com/today/preOpen_KEIEQN.svg,3686.0,5,0
SUNPHARMA,SUNPHARMAEQN,,1665.8,3.3,0.2,1662.5,1891,3150027,1788387674912.67,1960.35,1550.0,1665.8,https://nsearchives.nseindia.com/today/preOpen_SUNPHARMAEQN.svg,1663.1,300,0
MARICO,MARICOEQN,,728.2,1.25,0.17,726.95,824,600036,382971630240.9,744.45,577.85,728.2,https://nsearchives.nseindia.com/today/preOpen_MARICOEQN.svg,726.0,20,0
MUTHOOTFIN,MUTHOOTFINEQN,,2648.9,4.1,0.16,2644.8,475,1258227,282790138125.62,2691.6,1664.6,2648.9,https://nsearchives.nseindia.com/today/preOpen_MUTHOOTFINEQN.svg,2630.0,5,0
BALKRISIND,BALKRISINDEQN,,2636.3,4.0,0.15,2636.3,456,1202152,210559136257.26,3375.0,2152.05,2636.3,https://nsearchives.nseindia.com/today/preOpen_BALKRISINDEQN.svg,2620.3,100,0
CIPLA,CIPLAEQN,,1480.0,2.2,0.15,1477.8,1522,2252560,828617226594.02,1702.05,1335.0,1480.0,https://nsearchives.nseindia.com/today/preOpen_CIPLAEQN.svg,1477.2,99,0
BIOCON,BIOCONEQN,,372.9,0.5,0.13,372.4,5604,2089731,222811519503.14,404.7,291.0,372.9,https://nsearchives.nseindia.com/today/preOpen_BIOCONEQN.svg,372.4,294,0
NESTLEIND,NESTLEINDEQN,,2404.0,2.6,0.11,2401.4,446,1072184,858162624086.68,2778.0,2110.0,2404.0,https://nsearchives.nseindia.com/today/preOpen_NESTLEINDEQN.svg,2401.5,1,0
OIL,OILEQN,,438.0,0.5,0.11,437.5,4240,1857120,237575621919.07,767.9,325.0,438.0,https://nsearchives.nseindia.com/today/preOpen_OILEQN.svg,436.8,650,0
RECLTD,RECLTDEQN,,398.0,0.45,0.11,397.55,48207,19186386,494682407809.59,654.0,357.35,398.0,https://nsearchives.nseindia.com/today/preOpen_RECLTDEQN.svg,397.45,1,0
GODREJPROP,GODREJPROPEQN,,2258.5,2.3,0.1,2256.2,866,1955861,338124015377.79,3402.7,1900.0,2258.5,https://nsearchives.nseindia.com/today/preOpen_GODREJPROPEQN.svg,2255.5,10,0
OBEROIRLTY,OBEROIRLTYEQN,,1845.0,1.9,0.1,1843.1,347,640215,216111823870.85,2343.65,1451.95,1845.0,https://nsearchives.nseindia.com/today/preOpen_OBEROIRLTYEQN.svg,1843.2,1,0
SUPREMEIND,SUPREMEINDEQN,,4153.3,4.1,0.1,4149.2,50,207665,268268331686.97,6270.05,3095.0,4153.3,https://nsearchives.nseindia.com/today/preOpen_SUPREMEINDEQN.svg,4145.2,2,0
JSWENERGY,JSWENERGYEQN,,531.0,0.45,0.08,530.55,19305,10250955,283096717396.02,804.9,418.75,531.0,https://nsearchives.nseindia.com/today/preOpen_JSWENERGYEQN.svg,530.3,10,0
KAYNES,KAYNESEQN,,6169.5,5.0,0.08,6164.5,573,3535123,174297419975.99,7822.0,3726.0,6169.5,https://nsearchives.nseindia.com/today/preOpen_KAYNESEQN.svg,6155.0,2,0
SONACOMS,SONACOMSEQN,,455.0,0.35,0.08,454.65,4962,2257710,203117688966.35,768.65,380.0,455.0,https://nsearchives.nseindia.com/today/preOpen_SONACOMSEQN.svg,453.3,1,0
VOLTAS,VOLTASEQN,,1370.0,1.1,0.08,1368.9,1959,2683830,310018428621.29,1944.9,1135.0,1370.0,https://nsearchives.nseindia.com/today/preOpen_VOLTASEQN.svg,1365.0,7,0
M&MFIN,M&MFINEQN,,267.8,0.2,0.07,267.6,1519,406788,176289533840.85,333.01,231.02,267.8,https://nsearchives.nseindia.com/today/preOpen_M&MFINEQN.svg,266.8,3000,0
UNITDSPR,UNITDSPREQN,,1384.9,0.9,0.07,1384.0,2080,2880592,407869161771.81,1700.0,1263.55,1384.9,https://nsearchives.nseindia.com/today/preOpen_UNITDSPREQN.svg,1382.0,18,0
ADANIPORTS,ADANIPORTSEQN,,1444.0,0.9,0.06,1443.1,2159,3117596,1061698058025.26,1604.95,995.65,1444.0,https://nsearchives.nseindia.com/today/preOpen_ADANIPORTSEQN.svg,1443.1,278,0
HINDZINC,HINDZINCEQN,,423.0,0.2,0.05,422.8,18726,7921098,154632286709.94,684.0,378.15,423.0,https://nsearchives.nseindia.com/today/preOpen_HINDZINCEQN.svg,422.8,825,0
RVNL,RVNLEQN,,384.9,0.2,0.05,384.7,18330,7055217,217852211539.26,647.0,305.0,384.9,https://nsearchives.nseindia.com/today/preOpen_RVNLEQN.svg,384.65,18,0
ITC,ITCEQN,,417.0,0.15,0.04,416.85,16438,6854646,3869299142633.56,528.5,390.15,417.0,https://nsearchives.nseindia.com/today/preOpen_ITCEQN.svg,416.75,1,0
MANKIND,MANKINDEQN,,2545.0,1.0,0.04,2544.0,1060,2697700,286778535297.86,3054.8,1901.05,2545.0,https://nsearchives.nseindia.com/today/preOpen_MANKINDEQN.svg,2540.8,1,0
CAMS,CAMSEQN,,4189.0,1.1,0.03,4187.9,646,2706094,199813317344.4,5367.5,3031.05,4189.0,https://nsearchives.nseindia.com/today/preOpen_CAMSEQN.svg,4183.0,1,0
CROMPTON,CROMPTONEQN,,343.9,0.1,0.03,343.8,547,188113,220132632655.66,484.0,301.0,343.9,https://nsearchives.nseindia.com/today/preOpen_CROMPTONEQN.svg,342.5,2009,0
DRREDDY,DRREDDYEQN,,1263.0,0.4,0.03,1262.6,1833,2315079,765796717191.14,1421.49,1020.0,1263.0,https://nsearchives.nseindia.com/today/preOpen_DRREDDYEQN.svg,1261.8,50,0
VBL,VBLEQN,,459.9,0.15,0.03,459.75,9179,4221422,615105512127.29,681.12,419.55,459.9,https://nsearchives.nseindia.com/today/preOpen_VBLEQN.svg,459.45,13,0
